title,genres,cast,crew,runtime,vote_count,monthFact,actorFact,genFact,budget,revenue,popularity,vote_average,IMDB,rotten,metaC,release_date
The Lone Ranger,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]","{0: 'Johnny Depp', 1: 'Armie Hammer', 2: 'William Fichtner', 3: 'Helena Bonham Carter', 4: 'James Badge Dale', 5: 'Tom Wilkinson', 6: 'Ruth Wilson'}",Gore Verbinski,149,2311,1,1,1,255000000,89289910,49.046956,5.9,0.65,0.31,0.37,2013-07-03
Man of Steel,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Henry Cavill', 1: 'Amy Adams', 2: 'Michael Shannon', 3: 'Kevin Costner', 4: 'Diane Lane', 5: 'Russell Crowe', 6: 'Laurence Fishburne'}",Zack Snyder,143,6359,0,0,1,225000000,662845518,99.398009,6.5,0.71,0.55,0.55,2013-06-12
The Chronicles of Narnia: Prince Caspian,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]","{0: 'Ben Barnes', 1: 'William Moseley', 2: 'Anna Popplewell', 3: 'Skandar Keynes', 4: 'Georgie Henley', 5: 'Sergio Castellitto', 6: 'Alicia Borrachero'}",Andrew Adamson,150,1630,1,0,1,225000000,419651413,53.978602,6.3,0.65,0.67,0.62,2008-05-15
The Avengers,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]","{0: 'Robert Downey Jr.', 1: 'Chris Evans', 2: 'Mark Ruffalo', 3: 'Chris Hemsworth', 4: 'Scarlett Johansson', 5: 'Jeremy Renner', 6: 'Tom Hiddleston'}",Joss Whedon,143,11776,0,1,1,220000000,1519557910,144.448633,7.4,0.81,0.92,0.69,2012-04-25
Pirates of the Caribbean: On Stranger Tides,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]","{0: 'Johnny Depp', 1: 'Penélope Cruz', 2: 'Ian McShane', 3: 'Kevin McNally', 4: 'Geoffrey Rush', 5: 'Sam Claflin', 6: 'Astrid Bergès-Frisbey'}",Rob Marshall,136,4948,1,1,1,380000000,1045713802,135.413856,6.4,0.66,0.32,0.45,2011-05-14
Men in Black 3,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Will Smith', 1: 'Tommy Lee Jones', 2: 'Josh Brolin', 3: 'Michael Stuhlbarg', 4: 'Emma Thompson', 5: 'Jemaine Clement', 6: 'Nicole Scherzinger'}",Barry Sonnenfeld,106,4160,1,1,1,225000000,624026776,52.035179,6.2,0.68,0.68,0.58,2012-05-23
The Hobbit: The Battle of the Five Armies,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]","{0: 'Martin Freeman', 1: 'Ian McKellen', 2: 'Richard Armitage', 3: 'Ken Stott', 4: 'Graham McTavish', 5: 'William Kircher', 6: 'James Nesbitt'}",Peter Jackson,144,4760,0,1,1,250000000,956019788,120.965743,7.1,0.74,0.59,0.59,2014-12-10
The Amazing Spider-Man,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]","{0: 'Andrew Garfield', 1: 'Emma Stone', 2: 'Rhys Ifans', 3: 'Denis Leary', 4: 'Campbell Scott', 5: 'Irrfan Khan', 6: 'Martin Sheen'}",Marc Webb,136,6586,0,0,1,215000000,752215857,89.866276,6.5,0.7,0.73,0.66,2012-06-27
Robin Hood,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]","{0: 'Russell Crowe', 1: 'Cate Blanchett', 2: 'Max von Sydow', 3: 'William Hurt', 4: 'Mark Strong', 5: 'Oscar Isaac', 6: 'Danny Huston'}",Ridley Scott,140,1398,1,1,1,200000000,310669540,37.668301,6.2,0.67,0.43,0.53,2010-05-12
The Hobbit: The Desolation of Smaug,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]","{0: 'Martin Freeman', 1: 'Ian McKellen', 2: 'Richard Armitage', 3: 'Ken Stott', 4: 'Graham McTavish', 5: 'William Kircher', 6: 'James Nesbitt'}",Peter Jackson,161,4524,0,1,1,250000000,958400000,94.370564,7.6,0.79,0.74,0.66,2013-12-11
The Golden Compass,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]","{0: 'Dakota Blue Richards', 1: 'Nicole Kidman', 2: 'Daniel Craig', 3: 'Sam Elliott', 4: 'Eva Green', 5: 'Freddie Highmore', 6: 'Ian McKellen'}",Chris Weitz,113,1303,0,1,1,180000000,372234864,42.990906,5.8,0.61,0.42,0.51,2007-12-04
King Kong,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]","{0: 'Naomi Watts', 1: 'Jack Black', 2: 'Adrien Brody', 3: 'Thomas Kretschmann', 4: 'Colin Hanks', 5: 'Andy Serkis', 6: 'Evan Parke'}",Peter Jackson,187,2337,0,1,1,207000000,550000000,61.22601,6.6,0.72,0.84,0.81,2005-12-14
Titanic,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Kate Winslet', 1: 'Leonardo DiCaprio', 2: 'Frances Fisher', 3: 'Billy Zane', 4: 'Kathy Bates', 5: 'Gloria Stuart', 6: 'Bill Paxton'}",James Cameron,194,7562,0,1,1,200000000,1845034188,100.025899,7.5,0.78,0.88,0.75,1997-11-18
Captain America: Civil War,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Chris Evans', 1: 'Robert Downey Jr.', 2: 'Scarlett Johansson', 3: 'Sebastian Stan', 4: 'Anthony Mackie', 5: 'Don Cheadle', 6: 'Jeremy Renner'}",Joe Russo,147,7241,0,1,1,250000000,1153304495,198.372395,7.1,0.78,0.91,0.75,2016-04-27
Battleship,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Taylor Kitsch', 1: 'Alexander Skarsgård', 2: 'Rihanna', 3: 'Brooklyn Decker', 4: 'Tadanobu Asano', 5: 'Liam Neeson', 6: 'Gregory D. Gadson'}",Peter Berg,131,2114,0,1,1,209000000,303025485,64.928382,5.5,0.58,0.34,0.41,2012-04-11
Jurassic World,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Chris Pratt', 1: 'Bryce Dallas Howard', 2: 'Irrfan Khan', 3: ""Vincent D'Onofrio"", 4: 'Nick Robinson', 5: 'Ty Simpkins', 6: 'Jake Johnson'}",Colin Trevorrow,124,8662,0,0,1,150000000,1513528810,418.708552,6.5,0.7,0.71,0.59,2015-06-09
Skyfall,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Daniel Craig', 1: 'Judi Dench', 2: 'Javier Bardem', 3: 'Ralph Fiennes', 4: 'Naomie Harris', 5: 'Bérénice Marlohe', 6: 'Albert Finney'}",Sam Mendes,143,7604,0,1,1,200000000,1108561013,93.004993,6.9,0.78,0.92,0.81,2012-10-25
Spider-Man 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]","{0: 'Tobey Maguire', 1: 'Kirsten Dunst', 2: 'James Franco', 3: 'Alfred Molina', 4: 'Rosemary Harris', 5: 'Donna Murphy', 6: 'J.K. Simmons'}",Sam Raimi,127,4321,0,0,1,200000000,783766341,35.149586,6.7,0.73,0.93,0.83,2004-06-25
Iron Man 3,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Robert Downey Jr.', 1: 'Gwyneth Paltrow', 2: 'Don Cheadle', 3: 'Guy Pearce', 4: 'Rebecca Hall', 5: 'Jon Favreau', 6: 'Ben Kingsley'}",Shane Black,130,8806,0,1,1,200000000,1215439994,77.68208,6.8,0.72,0.8,0.62,2013-04-18
Alice in Wonderland,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]","{0: 'Mia Wasikowska', 1: 'Johnny Depp', 2: 'Anne Hathaway', 3: 'Helena Bonham Carter', 4: 'Crispin Glover', 5: 'Marton Csokas', 6: 'Lindsay Duncan'}",Tim Burton,108,4645,0,1,1,200000000,1025491110,78.530105,6.4,0.65,0.52,0.53,2010-03-03
X-Men: The Last Stand,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Hugh Jackman', 1: 'Halle Berry', 2: 'Ian McKellen', 3: 'Patrick Stewart', 4: 'Famke Janssen', 5: 'Anna Paquin', 6: 'Kelsey Grammer'}",Brett Ratner,104,3525,1,1,1,210000000,459359555,3.857526,6.3,0.67,0.58,0.58,2006-05-24
Monsters University,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]","{0: 'Billy Crystal', 1: 'John Goodman', 2: 'Steve Buscemi', 3: 'Helen Mirren', 4: 'Noah Johnston', 5: 'Peter Sohn', 6: 'Joel Murray'}",Dan Scanlon,104,3528,0,0,0,200000000,743559607,89.186492,7,0.73,0.79,0.65,2013-06-20
Transformers: Revenge of the Fallen,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]","{0: 'Shia LaBeouf', 1: 'Megan Fox', 2: 'Josh Duhamel', 3: 'Rainn Wilson', 4: 'Tyrese Gibson', 5: 'John Turturro', 6: 'Kevin Dunn'}",Michael Bay,150,3138,0,1,1,150000000,836297228,21.939663,6,0.6,0.19,0.35,2009-06-19
Transformers: Age of Extinction,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]","{0: 'Mark Wahlberg', 1: 'Stanley Tucci', 2: 'Kelsey Grammer', 3: 'Nicola Peltz', 4: 'Jack Reynor', 5: 'Titus Welliver', 6: 'Sophia Myles'}",Michael Bay,165,3095,0,1,1,210000000,1091405097,116.840296,5.8,0.57,0.18,0.32,2014-06-25
Oz: The Great and Powerful,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]","{0: 'James Franco', 1: 'Mila Kunis', 2: 'Rachel Weisz', 3: 'Michelle Williams', 4: 'Zach Braff', 5: 'Bill Cobbs', 6: 'Joey King'}",Sam Raimi,130,3530,0,0,1,200000000,491868548,46.985445,5.7,0.63,0.59,0.44,2013-03-07
The Amazing Spider-Man 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]","{0: 'Andrew Garfield', 1: 'Emma Stone', 2: 'Jamie Foxx', 3: 'Dane DeHaan', 4: 'Campbell Scott', 5: 'Embeth Davidtz', 6: 'Colm Feore'}",Marc Webb,142,4179,0,0,1,200000000,705717432,89.270217,6.5,0.67,0.52,0.53,2014-04-16
TRON: Legacy,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Garrett Hedlund', 1: 'Jeff Bridges', 2: 'Olivia Wilde', 3: 'Bruce Boxleitner', 4: 'Yaya DaCosta', 5: 'Serinda Swan', 6: 'Beau Garrett'}",Joseph Kosinski,125,2841,0,0,1,170000000,400062763,73.79505,6.3,0.68,0.51,0.49,2010-12-10
Cars 2,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]","{0: 'Owen Wilson', 1: 'Larry the Cable Guy', 2: 'Michael Caine', 3: 'Emily Mortimer', 4: 'John Turturro', 5: 'Eddie Izzard', 6: 'Thomas Kretschmann'}",Brad Lewis,106,2033,0,1,1,200000000,559852396,49.98659,5.8,0.62,0.39,0.57,2011-06-11
Green Lantern,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Ryan Reynolds', 1: 'Blake Lively', 2: 'Peter Sarsgaard', 3: 'Tim Robbins', 4: 'Mark Strong', 5: 'Temuera Morrison', 6: 'Jenna Craig'}",Martin Campbell,114,2487,0,0,1,200000000,219851172,51.872839,5.1,0.56,0.26,0.39,2011-06-16
Toy Story 3,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]","{0: 'Tom Hanks', 1: 'Tim Allen', 2: 'Ned Beatty', 3: 'Joan Cusack', 4: 'Michael Keaton', 5: 'Whoopi Goldberg', 6: 'Bonnie Hunt'}",Lee Unkrich,103,4597,0,1,1,200000000,1066969703,59.995418,7.6,0.83,0.99,0.92,2010-06-16
Terminator Salvation,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Christian Bale', 1: 'Sam Worthington', 2: 'Anton Yelchin', 3: 'Moon Bloodgood', 4: 'Bryce Dallas Howard', 5: 'Helena Bonham Carter', 6: 'Common'}",McG,115,2463,1,1,1,200000000,371353001,71.862892,5.9,0.66,0.33,0.49,2009-05-20
Furious 7,"[{""id"": 28, ""name"": ""Action""}]","{0: 'Vin Diesel', 1: 'Paul Walker', 2: 'Dwayne Johnson', 3: 'Michelle Rodriguez', 4: 'Tyrese Gibson', 5: 'Ludacris', 6: 'Jordana Brewster'}",James Wan,137,4176,0,1,1,190000000,1506249360,102.322217,7.3,0.72,0.8,0.67,2015-04-01
World War Z,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Brad Pitt', 1: 'Mireille Enos', 2: 'Abigail Hargrove', 3: 'Sterling Jerins', 4: 'James Badge Dale', 5: 'Elyes Gabel', 6: 'David Andrews'}",Marc Forster,116,5560,0,1,1,200000000,531865000,81.834855,6.7,0.7,0.66,0.63,2013-06-20
X-Men: Days of Future Past,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Hugh Jackman', 1: 'James McAvoy', 2: 'Michael Fassbender', 3: 'Jennifer Lawrence', 4: 'Halle Berry', 5: 'Anna Paquin', 6: 'Ellen Page'}",Bryan Singer,131,6032,1,1,1,250000000,747862775,118.078691,7.5,0.8,0.9,0.74,2014-05-15
Star Trek Into Darkness,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Chris Pine', 1: 'Zachary Quinto', 2: 'Zoe Saldana', 3: 'Karl Urban', 4: 'Simon Pegg', 5: 'John Cho', 6: 'Benedict Cumberbatch'}",J.J. Abrams,132,4418,1,1,1,190000000,467365246,78.291018,7.4,0.78,0.86,0.72,2013-05-05
Jack the Giant Slayer,"[{""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]","{0: 'Nicholas Hoult', 1: 'Eleanor Tomlinson', 2: 'Ewan McGregor', 3: 'Stanley Tucci', 4: 'Ian McShane', 5: 'Eddie Marsan', 6: 'Ewen Bremner'}",Bryan Singer,114,2598,0,0,1,195000000,197687603,43.349855,5.5,0.63,0.52,0.51,2013-02-27
The Great Gatsby,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]","{0: 'Leonardo DiCaprio', 1: 'Tobey Maguire', 2: 'Carey Mulligan', 3: 'Joel Edgerton', 4: 'Elizabeth Debicki', 5: 'Isla Fisher', 6: 'Jason Clarke'}",Baz Luhrmann,143,3769,1,1,0,105000000,351040419,61.196071,7.3,0.73,0.49,0.55,2013-05-10
Prince of Persia: The Sands of Time,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10749, ""name"": ""Romance""}]","{0: 'Jake Gyllenhaal', 1: 'Gemma Arterton', 2: 'Ben Kingsley', 3: 'Alfred Molina', 4: 'Steve Toussaint', 5: 'Toby Kebbell', 6: 'Richard Coyle'}",Mike Newell,116,2317,1,0,1,150000000,335154643,62.169881,6.2,0.66,0.36,0.5,2010-05-19
Pacific Rim,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]","{0: 'Idris Elba', 1: 'Charlie Hunnam', 2: 'Charlie Day', 3: 'Ron Perlman', 4: 'Burn Gorman', 5: 'Rinko Kikuchi', 6: 'Max Martini'}",Guillermo del Toro,131,4794,1,0,1,180000000,407602906,56.523205,6.7,0.69,0.71,0.64,2013-07-11
Transformers: Dark of the Moon,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]","{0: 'Shia LaBeouf', 1: 'John Malkovich', 2: 'Ken Jeong', 3: 'Frances McDormand', 4: 'Josh Duhamel', 5: 'Tyrese Gibson', 6: 'Hugo Weaving'}",Michael Bay,154,3299,0,1,1,195000000,1123746996,28.529607,6.1,0.63,0.35,0.42,2011-06-28
Indiana Jones and the Kingdom of the Crystal Skull,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]","{0: 'Harrison Ford', 1: 'Cate Blanchett', 2: 'Shia LaBeouf', 3: 'Ray Winstone', 4: 'Karen Allen', 5: 'John Hurt', 6: 'Jim Broadbent'}",Steven Spielberg,122,2495,1,1,1,185000000,786636033,75.674458,5.7,0.62,0.77,0.65,2008-05-21
The Good Dinosaur,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]","{0: 'Raymond Ochoa', 1: 'Jack Bright', 2: 'Jeffrey Wright', 3: 'Frances McDormand', 4: 'Maleah Nipay-Padilla', 5: 'Ryan Teeple', 6: 'Jack McGraw'}",Peter Sohn,93,1736,0,0,1,175000000,331926147,51.692953,6.6,0.67,0.77,0.66,2015-11-14
Brave,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]","{0: 'Kelly Macdonald', 1: 'Julie Walters', 2: 'Billy Connolly', 3: 'Emma Thompson', 4: 'Kevin McKidd', 5: 'Craig Ferguson', 6: 'Robbie Coltrane'}",Steve Purcell,93,4641,0,0,1,185000000,538983207,125.114374,6.7,0.71,0.78,0.69,2012-06-21
Star Trek Beyond,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Chris Pine', 1: 'Zachary Quinto', 2: 'Karl Urban', 3: 'Simon Pegg', 4: 'Zoe Saldana', 5: 'John Cho', 6: 'Anton Yelchin'}",Justin Lin,122,2568,1,1,1,185000000,343471816,65.352913,6.6,0.71,0.84,0.68,2016-07-07
WALL·E,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]","{0: 'Ben Burtt', 1: 'Elissa Knight', 2: 'Jeff Garlin', 3: 'Fred Willard', 4: 'John Ratzenberger', 5: 'Kathy Najimy', 6: 'Teresa Ganzel'}",Andrew Stanton,98,6296,0,0,0,180000000,521311860,66.390712,7.8,0.84,0.96,0.95,2008-06-22
Rush Hour 3,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Chris Tucker', 1: 'Jackie Chan', 2: 'Hiroyuki Sanada', 3: 'Max von Sydow', 4: 'Yvan Attal', 5: 'Roman Polanski', 6: 'Zhang Jingchu'}",Brett Ratner,91,783,1,0,1,140000000,258022233,22.57178,6.1,0.62,0.18,0.44,2007-08-08
